City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,upernavik,72.7868,-56.1549,-17.83,95,100,7.5,GL,1681101003
1,tavricheskoye,54.5851,73.6395,4.95,48,31,7.44,RU,1681101004
2,wajima,37.4,136.9,17.38,41,20,9.77,JP,1681100565
3,kochevo,59.5994,54.3125,0.27,66,100,4.47,RU,1681101005
4,kapaa,22.0752,-159.319,25.99,83,100,10.29,US,1681101006
5,chuy,-33.6971,-53.4616,17.28,93,0,2.17,UY,1681100813
6,busselton,-33.65,115.3333,20.54,58,98,8.87,AU,1681101007
7,vaini,-21.2,-175.2,29.09,79,20,3.6,TO,1681101007
8,atuona,-9.8,-139.0333,27.15,78,18,6.24,PF,1681101007
9,torbay,47.6666,-52.7314,-4.12,65,0,6.17,CA,1681101008
10,coahuayana,18.7333,-103.6833,23.35,64,98,1.41,MX,1681101008
11,kavaratti,10.5669,72.642,28.19,71,29,2.35,IN,1681101009
12,iqaluit,63.7506,-68.5145,-24.15,77,0,1.03,CA,1681100966
13,chepareria,1.3077,35.2039,19.08,65,27,1.18,KE,1681101010
14,barrow,71.2906,-156.7887,-16.99,71,100,2.06,US,1681101010
15,bijie,27.3125,105.2942,20.89,51,50,4.26,CN,1681101011
16,hilo,19.7297,-155.09,24.85,76,75,3.09,US,1681101011
17,east london,-33.0153,27.9116,15.52,77,0,5.14,ZA,1681101011
18,bethel,41.3712,-73.414,5.36,75,0,1.54,US,1681100917
19,hobart,-42.8794,147.3294,11.7,85,75,5.66,AU,1681101012
20,ribeira grande,38.5167,-28.7,13.76,90,25,2.24,PT,1681101013
21,coolum beach,-26.5333,153.1,29.08,35,2,3.38,AU,1681101014
22,kutahya,39.4242,29.9833,7.86,96,100,0.91,TR,1681100955
23,rio grande,-32.035,-52.0986,20.7,91,0,3.58,BR,1681101015
24,butaritari,3.0707,172.7902,27.7,75,88,4.24,KI,1681101015
25,presidente medici,-11.1753,-61.9014,22.16,97,98,0.31,BR,1681101016
26,airai,-8.9266,125.4092,20.98,76,98,1.9,TL,1681101016
27,yellowknife,62.456,-114.3525,0.29,80,75,8.23,CA,1681100810
28,hasaki,35.7333,140.8333,22.38,49,1,11.1,JP,1681101017
29,ciudad bolivar,8.1222,-63.5497,27.81,59,57,5.91,VE,1681100858
30,tilichiki,60.4667,166.1,-6.79,89,100,6.12,RU,1681101018
31,baloi,8.1146,124.2217,27.46,67,99,3.3,PH,1681101018
32,road town,18.4167,-64.6167,26.05,79,1,6.84,VG,1681100947
33,agadir,30.4202,-9.5982,20.25,34,23,2.56,MA,1681101019
34,abu dhabi,24.4667,54.3667,26.65,68,0,1.54,AE,1681101019
35,ostersund,63.1792,14.6357,1.25,100,75,4.63,SE,1681101019
36,sistranda,63.7256,8.834,4.98,75,0,2.95,NO,1681101020
37,norman wells,65.282,-126.8329,0.02,74,75,0.0,CA,1681101020
38,bluff,-46.6,168.3333,14.51,92,98,6.54,NZ,1681101020
39,karratha,-20.7377,116.8463,33.7,25,95,6.83,AU,1681101020
40,ushuaia,-54.8,-68.3,3.81,75,40,10.8,AR,1681101020
41,ilulissat,69.2167,-51.1,-3.99,93,100,3.09,GL,1681101021
42,albany,42.6001,-73.9662,5.17,57,6,1.34,US,1681100843
43,cherskiy,68.75,161.3,-11.89,79,1,2.8,RU,1681101021
44,kavieng,-2.5744,150.7967,26.18,87,100,5.83,PG,1681101021
45,mungwi,-10.1732,31.3694,16.66,96,64,0.93,ZM,1681101021
46,mataura,-46.1927,168.8643,14.88,89,100,1.42,NZ,1681101022
47,rikitea,-23.1203,-134.9692,25.0,65,0,3.97,PF,1681101022
48,san cristobal,7.7669,-72.225,24.1,93,90,1.51,VE,1681101022
49,punta arenas,-53.15,-70.9167,5.06,65,40,6.69,CL,1681101022
50,vicuna,-30.0319,-70.7081,20.68,56,15,0.51,CL,1681101023
51,saint-philippe,-21.3585,55.7679,24.77,79,100,4.5,RE,1681101024
52,mehamn,71.0357,27.8492,2.97,87,75,7.72,NO,1681101024
53,nikolskoye,59.7035,30.7861,2.67,92,92,1.57,RU,1681101024
54,hamilton,39.1834,-84.5333,10.55,60,0,3.09,US,1681100906
55,lavrentiya,65.5833,-171.0,-21.59,86,33,2.29,RU,1681101025
56,laguna,38.421,-121.4238,19.1,61,0,2.57,US,1681101007
57,vardo,70.3705,31.1107,0.99,75,20,7.72,NO,1681100995
58,lorengau,-2.0226,147.2712,24.92,91,100,2.07,PG,1681101025
59,broome,42.2506,-75.833,3.51,69,5,1.34,US,1681101026
60,mar del plata,-38.0023,-57.5575,21.16,72,69,4.12,AR,1681101006
61,redwater,33.3582,-94.2544,16.16,89,100,2.35,US,1681101026
62,graham,47.0529,-122.2943,10.37,92,100,6.17,US,1681101026
63,vila velha,-20.3297,-40.2925,21.97,94,75,5.66,BR,1681101027
64,aklavik,68.2191,-135.0107,-13.26,95,100,4.72,CA,1681101027
65,ligatne,57.2343,25.0406,4.03,68,99,2.12,LV,1681101027
66,altamont,42.2068,-121.7372,14.32,56,0,0.89,US,1681100942
67,thompson,55.7435,-97.8558,5.09,56,20,0.0,CA,1681101028
68,sarny,51.338,26.6019,7.74,94,100,3.34,UA,1681101029
69,kodiak,57.79,-152.4072,-5.27,42,0,12.86,US,1681101030
70,esmeralda,21.8525,-78.1169,23.07,82,80,1.09,CU,1681101030
71,barcelos,41.5388,-8.6151,13.8,85,100,1.14,PT,1681101031
72,raga,8.4596,25.678,26.98,46,100,2.48,SS,1681101031
73,bulgan,48.8125,103.5347,-4.43,13,16,13.04,MN,1681101031
74,nara,34.6851,135.8049,22.2,25,2,5.85,JP,1681101031
75,puerto ayora,-0.7393,-90.3518,25.86,90,71,0.31,EC,1681101031
76,atbasar,51.8,68.3333,6.32,36,3,2.88,KZ,1681101031
77,vostok,46.4856,135.8833,14.39,35,86,3.88,RU,1681101032
78,dikson,73.5069,80.5464,-25.14,99,95,4.28,RU,1681101032
79,villablino,42.9393,-6.3194,10.28,86,99,1.56,ES,1681101032
80,freeport,40.6576,-73.5832,7.2,73,0,4.12,US,1681101033
81,victoria,22.2855,114.1577,25.03,84,29,0.45,HK,1681101033
82,port lincoln,-34.7333,135.8667,17.87,63,63,6.04,AU,1681101033
83,jamestown,42.097,-79.2353,4.8,61,0,2.57,US,1681101033
84,port alfred,-33.5906,26.891,14.97,75,7,5.52,ZA,1681101034
85,cayenne,4.9333,-52.3333,24.02,94,75,3.6,GF,1681101007
86,solenzo,12.1833,-4.0833,28.7,29,73,1.57,BF,1681101034
87,ponta do sol,32.6667,-17.1,19.35,60,18,2.61,PT,1681101034
88,praia da vitoria,38.7333,-27.0667,15.14,88,0,2.46,PT,1681101034
89,khatanga,71.9667,102.5,-16.2,89,100,2.28,RU,1681101035
90,saldanha,-33.0117,17.9442,14.03,75,35,4.82,ZA,1681101035
91,bredasdorp,-34.5322,20.0403,14.82,64,70,8.32,ZA,1681101035
92,amazar,53.858,120.875,-3.6,90,100,5.68,RU,1681101035
93,esperance,-33.8667,121.9,24.59,48,31,2.48,AU,1681101036
94,sao gabriel da cachoeira,-0.1303,-67.0892,21.31,99,100,0.26,BR,1681101036
95,phangnga,8.4509,98.5298,33.02,37,88,2.4,TH,1681101037
96,faya,18.3851,42.4509,15.06,50,0,1.65,SA,1681101037
97,jacareacanga,-6.2222,-57.7528,22.25,98,59,0.54,BR,1681101038
98,sitka,57.0531,-135.33,3.94,81,100,2.57,US,1681101038
99,padang,-0.9492,100.3543,30.03,74,74,2.38,ID,1681101038
100,alihe,50.5667,123.7167,3.09,90,100,3.39,CN,1681101038
101,tiksi,71.6872,128.8694,-15.62,82,100,1.82,RU,1681101039
102,san miguel,13.4833,-88.1833,25.32,67,11,0.23,SV,1681101039
103,hollister,36.8525,-121.4016,16.24,59,0,0.0,US,1681101039
104,leningradskiy,69.3833,178.4167,-18.29,92,100,4.76,RU,1681101039
105,sola,-13.8833,167.55,28.67,75,94,6.08,VU,1681101039
106,xinmin,41.9908,122.8253,19.44,40,83,9.75,CN,1681101039
107,gimli,50.6336,-96.9907,1.01,86,100,3.09,CA,1681101035
108,port keats,-14.25,129.55,30.92,62,99,4.78,AU,1681101040
109,launceston,-41.45,147.1667,17.67,53,100,8.75,AU,1681101040
110,new norfolk,-42.7826,147.0587,11.51,67,74,0.89,AU,1681101040
111,olustvere,58.5552,25.563,3.5,71,76,1.37,EE,1681101040
112,acapulco,16.8634,-99.8901,26.9,74,0,0.0,MX,1681101040
113,kaitangata,-46.2817,169.8464,14.11,96,100,4.37,NZ,1681101041
114,klaksvik,62.2266,-6.589,6.51,98,100,11.82,FO,1681101041
115,semey,50.4111,80.2275,8.12,27,0,3.0,KZ,1681101041
116,georgetown,5.4112,100.3354,31.97,66,20,2.06,MY,1681100749
117,nanortalik,60.1432,-45.2371,-2.58,93,99,1.4,GL,1681101042
118,batemans bay,-35.7167,150.1833,18.94,30,9,3.96,AU,1681101043
119,spolaita,38.6966,21.3464,5.42,86,96,1.34,GR,1681101043
120,castro,-24.7911,-50.0119,14.52,98,83,3.32,BR,1681101043
121,fortuna,40.5982,-124.1573,13.85,87,100,0.94,US,1681101043
122,chokurdakh,70.6333,147.9167,-17.33,83,66,5.04,RU,1681101043
